id_ml,barrio_ml,barrio_ine
TUxVQ0FHVWUwMzc3,Aguada,Aguada
TUxVQ0FJUjE1NDM,Aires Puros,Aires Puros
TUxVQ0FSUmJmZDVl,Arroyo Seco,Aguada
TUxVQ0FUQTYzNjc,Atahualpa,Atahualpa
TUxVQ0JFTDUyODE,Bella Vista,Reducto
TUxVQ0JFTDU0MjU0,Belvedere,Belvedere
TUxVQ0JPTDIxMDY,Bolivar,"Mercado Modelo, Bolivar"
TUxVQ0JSQWNhNzZl,Brazo Oriental,Brazo Oriental
TUxVQ0JVQzNlMDdl,Buceo,Buceo
TUxVQ0NBUDYxOTA,Capurro,"Capurro, Bella Vista"
TUxVQ0NBUmRhYWU0,Carrasco,Carrasco
TUxVQ0NFTjVjMTM,Centro,Centro
TUxVQ0NFUjI3NDg,Cerrito,Cerrito
TUxVQ0NFUjEwNDc,Cerro,Cerro
TUxVQ0NJVTk5MTU,Ciudad Vieja,Ciudad Vieja
TUxVQ0NPTDk2ZjYz,Colón,Colon Centro y Noroeste
TUxVQ0NPUjZmZjNm,Cordón,Cordon
TUxVQ0dPRTY1NDU,Goes,Aguada
TUxVQ0lUVTM0MjQ,Ituzaingó,Ituzaingo
TUxVQ0pBQzJiODI2,Jacinto Vera,Jacinto Vera
TUxVQ0pBUjMzOTE,Jardines Hipódromo,Jardines del Hipodromo
TUxVQ0xBWjk5YTE5,La Blanqueada,La Blanqueada
TUxVQ0xBQzU0NjU,La Comercial,La Comercial
TUxVQ0xBRjMyODM,La Figurita,La Figurita
TUxVQ0xBVDQ5ODI,La Teja,La Teja
TUxVQ0xBUzE0MjM,Las Acacias,Las Acacias
TUxVQ0xFWjQ0NTA,Lezica,"Lezica, Melilla"
TUxVQ01BTDE0YmY1,Malvin,Malvin
TUxVQ01BTDk4MDg,Malvin Norte,Malvin Norte
TUxVQ01BTjY0Mzc,Manga,Manga
TUxVQ01BUjczNTk,Maroñas,"Maroñas, Parque Guarani"
TUxVQ01BUjYwMDA,"Maroñas, Curva","Maroñas, Parque Guarani"
TVhYTWVyY2FkbyBNb2RlbG9UVXhWVUUxUFRsb,Mercado Modelo,"Mercado Modelo, Bolivar"
TUxVQ01PTjc2Nzc,Montevideo,Centro
TUxVQ05VRTk3MTk,Nuevo París,Nuevo Paris
TUxVQ1BBTDU0NzY,Palermo,Palermo
TUxVQ1BBUjVkNGE4,Parque Batlle,"Pque. Batlle, V. Dolores"
TUxVQ1BBUmU3Y2Nj,Parque Rodó,Parque Rodo
TUxVQ1BBUzc3MDM,Paso de la Arena,Paso de la Arena
TUxVQ1BBUzQzMDA,Paso Molino,Belvedere
TUxVQ1BF0TUxNDI,Peñarol,"Peñarol, Lavalleja"
TVhYUGVyZXogQ2FzdGVsbGFub3NUVXhWVUUxU,Perez Castellanos,"Castro, P. Castellanos"
TUxVQ1BJRWMyMjhl,Piedras Blancas,Piedras Blancas
TUxVQ1BPQzM5ZGRi,Pocitos,Pocitos
TUxVQ1BPQzIwNDU,Pocitos Nuevo,Pocitos
TUxVQ1BSQTYwOTJl,Prado,"Prado, Nueva Savona"
TUxVQ1BVRTI0NDA,Puerto Buceo,Buceo
TUxVQ1BVTjJmMjkx,Punta Carretas,Punta Carretas
TUxVQ1BVTjYxODI,Punta Gorda,Punta Gorda
TUxVQ1BVTjMxMTE,Punta Rieles,"Pta. Rieles, Bella Italia"
TUxVQ1JFRDg3YzQy,Reducto,Reducto
TUxVQ1NBWTkxODY,Sayago,Sayago
TUxVQ1RSRTg3OGM3,Tres Cruces,Tres Cruces
TUxVQ1VOSTVkOGFk,Unión,Union
TUxVQ1ZJTDE2MDU,Villa Biarritz,Punta Carretas
TUxVQ1ZJTDk1MTY,Villa Dolores,"Pque. Batlle, V. Dolores"
TUxVQ1ZJTDI2MzY,Villa Española,Villa Española
TUxVQ1ZJTDRkMTY,Villa Muñoz,"Villa Muñoz, Retiro"
